Conc,Control,Comparison,Total,Species,,,,
200mM,38,26,64,D. suzukii,,,,
200mM,49,79,128,D. suzukii,,,,
200mM,42,39,81,D. suzukii,,,,
200mM,20,38,58,D. suzukii,,,,
200mM,32,77,109,D. suzukii,,,,
200mM,52,33,85,D. suzukii,,,,
200mM,14,52,66,D. suzukii,,,,
200mM,18,42,60,D. suzukii,,,,
200mM,20,50,70,D. suzukii,,,,
200mM,36,33,69,D. suzukii,,,,
200mM,29,44,73,D. suzukii,,,,
200mM,57,51,108,D. suzukii,,,,
200mM,29,26,55,D. suzukii,,,,
200mM,11,37,48,D. suzukii,,,,
200mM,56,61,117,D. suzukii,,,,
200mM,11,17,28,D. suzukii,,,,
200mM,11,23,34,D. suzukii,,,,
200mM,47,65,112,D. suzukii,,,,
200mM,24,27,51,D. suzukii,,,,
200mM,30,32,62,D. suzukii,,,,
200mM,1,9,10,D. subpulchrella,,,,
200mM,11,10,21,D. subpulchrella,,,,
200mM,10,3,13,D. subpulchrella,,,,
200mM,5,17,22,D. subpulchrella,,,,
200mM,2,20,22,D. subpulchrella,,,,
200mM,2,8,10,D. subpulchrella,,,,
200mM,10,1,11,D. subpulchrella,,,,
200mM,6,6,12,D. subpulchrella,,,,
200mM,8,2,10,D. subpulchrella,,,,
200mM,4,6,10,D. subpulchrella,,,,
200mM,2,8,10,D. subpulchrella,,,,
200mM,4,9,13,D. subpulchrella,,,,
200mM,17,2,19,D. subpulchrella,,,,
200mM,13,9,22,D. subpulchrella,,,,
200mM,1,15,16,D. subpulchrella,,,,
200mM,1,16,17,D. biarmipes,,,,
200mM,1,27,28,D. biarmipes,,,,
200mM,0,26,26,D. biarmipes,,,,
200mM,0,10,10,D. biarmipes,,,,
200mM,0,13,13,D. biarmipes,,,,
200mM,2,25,27,D. biarmipes,,,,
200mM,1,19,20,D. biarmipes,,,,
200mM,1,11,12,D. biarmipes,,,,
200mM,0,14,14,D. biarmipes,,,,
200mM,0,17,17,D. biarmipes,,,,
200mM,0,12,12,D. biarmipes,,,,
200mM,0,13,13,D. biarmipes,,,,
200mM,1,9,10,D. biarmipes,,,,
200mM,0,13,13,D. biarmipes,,,,
200mM,1,14,15,D. biarmipes,,,,
200mM,0,14,14,D. melanogaster,,,,
200mM,0,10,10,D. melanogaster,,,,
200mM,13,75,88,D. melanogaster,,,,
200mM,5,71,76,D. melanogaster,,,,
200mM,6,27,33,D. melanogaster,,,,
200mM,4,29,33,D. melanogaster,,,,
200mM,1,86,87,D. melanogaster,,,,
200mM,7,91,98,D. melanogaster,,,,
200mM,5,39,44,D. melanogaster,,,,
200mM,17,72,89,D. melanogaster,,,,
200mM,0,59,59,D. melanogaster,,,,
200mM,0,46,46,D. melanogaster,,,,
200mM,0,12,12,D. melanogaster,,,,
200mM,0,31,31,D. melanogaster,,,,
200mM,18,12,30,D. melanogaster,,,,
200mM,3,27,30,D. melanogaster,,,,
200mM,2,36,38,D. melanogaster,,,,
400mM,13,25,38,D. suzukii,,,,
400mM,20,29,49,D. suzukii,,,,
400mM,22,28,50,D. suzukii,,,,
400mM,44,27,71,D. suzukii,,,,
400mM,36,23,59,D. suzukii,,,,
400mM,34,32,66,D. suzukii,,,,
400mM,7,9,16,D. suzukii,,,,
400mM,21,30,51,D. suzukii,,,,
400mM,44,61,105,D. suzukii,,,,
400mM,42,40,82,D. suzukii,,,,
400mM,52,30,82,D. suzukii,,,,
400mM,39,41,80,D. suzukii,,,,
400mM,21,20,41,D. suzukii,,,,
400mM,30,51,81,D. suzukii,,,,
400mM,7,8,15,D. suzukii,,,,
400mM,15,57,72,D. suzukii,,,,
400mM,25,51,76,D. suzukii,,,,
400mM,45,42,87,D. suzukii,,,,
400mM,41,51,92,D. suzukii,,,,
400mM,9,2,11,D. subpulchrella,,,,
400mM,0,11,11,D. subpulchrella,,,,
400mM,2,9,11,D. subpulchrella,,,,
400mM,8,7,15,D. subpulchrella,,,,
400mM,6,4,10,D. subpulchrella,,,,
400mM,1,11,12,D. subpulchrella,,,,
400mM,3,16,19,D. subpulchrella,,,,
400mM,9,1,10,D. subpulchrella,,,,
400mM,9,6,15,D. subpulchrella,,,,
400mM,21,12,33,D. subpulchrella,,,,
400mM,3,7,10,D. subpulchrella,,,,
400mM,7,17,24,D. subpulchrella,,,,
400mM,3,8,11,D. subpulchrella,,,,
400mM,4,6,10,D. subpulchrella,,,,
400mM,4,6,10,D. subpulchrella,,,,
400mM,10,3,13,D. subpulchrella,,,,
400mM,0,37,37,D. biarmipes,,,,
400mM,2,48,50,D. biarmipes,,,,
400mM,0,63,63,D. biarmipes,,,,
400mM,1,38,39,D. biarmipes,,,,
400mM,0,38,38,D. biarmipes,,,,
400mM,2,42,44,D. biarmipes,,,,
400mM,11,44,55,D. biarmipes,,,,
400mM,3,41,44,D. biarmipes,,,,
400mM,5,29,34,D. biarmipes,,,,
400mM,1,45,46,D. biarmipes,,,,
400mM,0,50,50,D. biarmipes,,,,
400mM,0,62,62,D. biarmipes,,,,
400mM,0,31,31,D. biarmipes,,,,
400mM,1,21,22,D. biarmipes,,,,
400mM,0,32,32,D. biarmipes,,,,
400mM,5,34,39,D. biarmipes,,,,
400mM,21,27,48,D. biarmipes,,,,
400mM,23,25,48,D. biarmipes,,,,
400mM,0,20,20,D. biarmipes,,,,
400mM,0,13,13,D. biarmipes,,,,
400mM,2,31,33,D. biarmipes,,,,
400mM,1,37,38,D. biarmipes,,,,
400mM,0,14,14,D. biarmipes,,,,
400mM,0,70,70,D. melanogaster,,,,
400mM,5,44,49,D. melanogaster,,,,
400mM,2,16,18,D. melanogaster,,,,
400mM,0,37,37,D. melanogaster,,,,
400mM,4,34,38,D. melanogaster,,,,
400mM,3,36,39,D. melanogaster,,,,
400mM,0,26,26,D. melanogaster,,,,
400mM,0,101,101,D. melanogaster,,,,
400mM,0,13,13,D. melanogaster,,,,
400mM,0,24,24,D. melanogaster,,,,
400mM,1,23,24,D. melanogaster,,,,
400mM,1,36,37,D. melanogaster,,,,
400mM,8,20,28,D. melanogaster,,,,
400mM,0,30,30,D. melanogaster,,,,
400mM,3,21,24,D. melanogaster,,,,
600mM,4,14,18,D. suzukii,,,,
600mM,31,11,42,D. suzukii,,,,
600mM,32,28,60,D. suzukii,,,,
600mM,75,34,109,D. suzukii,,,,
600mM,6,5,11,D. suzukii,,,,
600mM,9,20,29,D. suzukii,,,,
600mM,35,52,87,D. suzukii,,,,
600mM,30,36,66,D. suzukii,,,,
600mM,33,43,76,D. suzukii,,,,
600mM,25,48,73,D. suzukii,,,,
600mM,34,29,63,D. suzukii,,,,
600mM,16,39,55,D. suzukii,,,,
600mM,14,34,48,D. suzukii,,,,
600mM,28,34,62,D. suzukii,,,,
600mM,10,19,29,D. suzukii,,,,
600mM,13,20,33,D. suzukii,,,,
600mM,18,29,47,D. suzukii,,,,
600mM,49,38,87,D. suzukii,,,,
600mM,38,52,90,D. suzukii,,,,
600mM,5,7,12,D. suzukii,,,,
600mM,13,34,47,D. suzukii,,,,
600mM,16,44,60,D. suzukii,,,,
600mM,39,51,90,D. suzukii,,,,
600mM,33,68,101,D. suzukii,,,,
600mM,40,37,77,D. suzukii,,,,
600mM,27,49,76,D. suzukii,,,,
600mM,38,32,70,D. suzukii,,,,
600mM,10,0,10,D. suzukii,,,,
600mM,21,40,61,D. suzukii,,,,
600mM,11,0,11,D. subpulchrella,,,,
600mM,6,7,13,D. subpulchrella,,,,
600mM,7,8,15,D. subpulchrella,,,,
600mM,3,23,26,D. subpulchrella,,,,
600mM,3,11,14,D. subpulchrella,,,,
600mM,3,7,10,D. subpulchrella,,,,
600mM,9,2,11,D. subpulchrella,,,,
600mM,12,11,23,D. subpulchrella,,,,
600mM,8,8,16,D. subpulchrella,,,,
600mM,6,13,19,D. subpulchrella,,,,
600mM,4,12,16,D. subpulchrella,,,,
600mM,3,7,10,D. subpulchrella,,,,
600mM,12,5,17,D. subpulchrella,,,,
600mM,5,6,11,D. subpulchrella,,,,
600mM,4,6,10,D. subpulchrella,,,,
600mM,0,45,45,D. biarmipes,,,,
600mM,0,42,42,D. biarmipes,,,,
600mM,1,60,61,D. biarmipes,,,,
600mM,8,37,45,D. biarmipes,,,,
600mM,1,69,70,D. biarmipes,,,,
600mM,3,24,27,D. biarmipes,,,,
600mM,0,41,41,D. biarmipes,,,,
600mM,1,34,35,D. biarmipes,,,,
600mM,0,20,20,D. biarmipes,,,,
600mM,1,47,48,D. biarmipes,,,,
600mM,0,25,25,D. biarmipes,,,,
600mM,0,18,18,D. biarmipes,,,,
600mM,0,41,41,D. biarmipes,,,,
600mM,2,27,29,D. biarmipes,,,,
600mM,0,18,18,D. biarmipes,,,,
600mM,2,27,29,D. biarmipes,,,,
600mM,2,60,62,D. biarmipes,,,,
600mM,4,20,24,D. melanogaster,,,,
600mM,1,28,29,D. melanogaster,,,,
600mM,7,20,27,D. melanogaster,,,,
600mM,1,9,10,D. melanogaster,,,,
600mM,4,13,17,D. melanogaster,,,,
600mM,9,7,16,D. melanogaster,,,,
600mM,3,48,51,D. melanogaster,,,,
600mM,15,80,95,D. melanogaster,,,,
600mM,0,16,16,D. melanogaster,,,,
600mM,1,21,22,D. melanogaster,,,,
600mM,32,61,93,D. melanogaster,,,,
600mM,23,8,31,D. melanogaster,,,,
600mM,6,5,11,D. melanogaster,,,,
600mM,3,69,72,D. melanogaster,,,,
600mM,1,62,63,D. melanogaster,,,,