Egg Number,Fruit,Species
66,Ripe,D. suzukii
112,Ripe,D. suzukii
220,Ripe,D. suzukii
130,Ripe,D. suzukii
160,Ripe,D. suzukii
210,Ripe,D. suzukii
120,Ripe,D. suzukii
78,Ripe,D. suzukii
236,Ripe,D. suzukii
240,Ripe,D. suzukii
243,Ripe,D. suzukii
225,Ripe,D. suzukii
14,Rotten,D. suzukii
6,Rotten,D. suzukii
54,Rotten,D. suzukii
7,Rotten,D. suzukii
38,Rotten,D. suzukii
0,Rotten,D. suzukii
6,Rotten,D. suzukii
11,Rotten,D. suzukii
5,Rotten,D. suzukii
41,Rotten,D. suzukii
40,Rotten,D. suzukii
33,Rotten,D. suzukii
10,RipeU,D. subpulchrella
52,RipeU,D. subpulchrella
15,RipeU,D. subpulchrella
76,RipeU,D. subpulchrella
54,RipeU,D. subpulchrella
60,RipeU,D. subpulchrella
48,RipeU,D. subpulchrella
77,RipeU,D. subpulchrella
132,RipeU,D. subpulchrella
68,RipeU,D. subpulchrella
28,RipeU,D. subpulchrella
36,RottenU,D. subpulchrella
26,RottenU,D. subpulchrella
19,RottenU,D. subpulchrella
37,RottenU,D. subpulchrella
80,RottenU,D. subpulchrella
21,RottenU,D. subpulchrella
15,RottenU,D. subpulchrella
44,RottenU,D. subpulchrella
19,RottenU,D. subpulchrella
9,RottenU,D. subpulchrella
71,RottenU,D. subpulchrella
29,RipeB,D. biarmipes
20,RipeB,D. biarmipes
4,RipeB,D. biarmipes
74,RipeB,D. biarmipes
38,RipeB,D. biarmipes
58,RipeB,D. biarmipes
58,RipeB,D. biarmipes
3,RipeB,D. biarmipes
18,RipeB,D. biarmipes
17,RipeB,D. biarmipes
75,RottenB,D. biarmipes
121,RottenB,D. biarmipes
16,RottenB,D. biarmipes
62,RottenB,D. biarmipes
62,RottenB,D. biarmipes
72,RottenB,D. biarmipes
50,RottenB,D. biarmipes
30,RottenB,D. biarmipes
19,RottenB,D. biarmipes
16,RottenB,D. biarmipes
0,RipeM,D. melanogaster
0,RipeM,D. melanogaster
0,RipeM,D. melanogaster
3,RipeM,D. melanogaster
5,RipeM,D. melanogaster
3,RipeM,D. melanogaster
0,RipeM,D. melanogaster
2,RipeM,D. melanogaster
2,RipeM,D. melanogaster
2,RipeM,D. melanogaster
4,RipeM,D. melanogaster
0,RipeM,D. melanogaster
70,RottenM,D. melanogaster
65,RottenM,D. melanogaster
61,RottenM,D. melanogaster
60,RottenM,D. melanogaster
78,RottenM,D. melanogaster
70,RottenM,D. melanogaster
66,RottenM,D. melanogaster
100,RottenM,D. melanogaster
91,RottenM,D. melanogaster
98,RottenM,D. melanogaster
111,RottenM,D. melanogaster
138,RottenM,D. melanogaster