OPI,Species
0.6500,D. suzukii
0.8983,D. suzukii
0.6058,D. suzukii
0.8978,D. suzukii
0.6162,D. suzukii
1.0000,D. suzukii
0.9050,D. suzukii
0.9590,D. suzukii
0.7080,D. suzukii
0.7170,D. suzukii
0.7440,D. suzukii
0.7528,D. suzukii
-0.5652,D. subpulchrella
0.3333,D. subpulchrella
-0.1176,D. subpulchrella
0.3451,D. subpulchrella
-0.1940,D. subpulchrella
0.4810,D. subpulchrella
0.5240,D. subpulchrella
0.2730,D. subpulchrella
0.7480,D. subpulchrella
0.7660,D. subpulchrella
-0.4340,D. subpulchrella
-0.4423,D. biarmipes
-0.7163,D. biarmipes
-0.6000,D. biarmipes
0.0880,D. biarmipes
-0.2400,D. biarmipes
-0.1080,D. biarmipes
-0.8182,D. biarmipes
0.0740,D. biarmipes
-0.0270,D. biarmipes
0.0303,D. biarmipes
-1.0000,D. melanogaster
-1.0000,D. melanogaster
-1.0000,D. melanogaster
-0.9000,D. melanogaster
-0.8800,D. melanogaster
-0.9200,D. melanogaster
-1.0000,D. melanogaster
-0.9608,D. melanogaster
-0.9570,D. melanogaster
-0.9600,D. melanogaster
-0.9304,D. melanogaster
-1.0000,D. melanogaster